label,n,karger_tries,stein_tries
er-10-0.75,10,7,4
er-10-0.5,10,1,1
er-10-0.8,10,1,1
er-10-0.4,10,1,1
er-10-0.6,10,7,2
er-10-0.5,10,4,1
er-10-0.3,10,4,1
er-10-0.5,10,1,1
er-10-0.85,10,3,1
er-10-0.85,10,1,1
er-10-0.6,10,10,3
er-10-0.85,10,4,1
er-10-0.8,10,1,1
er-10-0.95,10,3,1
er-10-0.5,10,3,1
er-10-0.5,10,3,1
er-10-0.25,10,8,1
er-10-0.5,10,2,1
er-10-0.65,10,2,1
er-10-0.85,10,10,1
er-10-0.7,10,1,2
er-10-0.95,10,3,1
er-10-0.7,10,3,1
er-10-0.35,10,1,1
er-10-1.0,10,4,1
er-10-1.0,10,1,1
er-10-0.5,10,5,1
er-10-0.5,10,4,1
er-10-0.85,10,4,2
er-10-0.7,10,2,1
er-10-0.9,10,3,1
er-10-0.7,10,1,1
er-10-0.35,10,1,1
er-10-0.5,10,1,1
er-10-0.85,10,3,2
er-10-0.35,10,2,1
er-10-0.7,10,1,1
er-10-0.8,10,4,1
er-10-0.65,10,1,1
er-10-0.7,10,11,1
er-10-0.8,10,1,1
er-10-0.35,10,4,1
er-10-0.8,10,3,3
er-10-0.95,10,1,1
er-10-0.9,10,7,1
er-10-0.8,10,2,1
er-10-0.7,10,6,1
er-10-0.75,10,1,1
er-10-0.65,10,1,1
er-10-0.95,10,1,1
er-10-0.7,10,3,1
er-10-0.45,10,2,1
er-10-0.6,10,4,1
er-10-0.8,10,2,1
er-10-0.65,10,4,1
er-10-0.65,10,2,1
er-10-0.95,10,10,1
er-10-0.4,10,1,1
er-10-0.25,10,1,1
er-10-0.6,10,1,1
er-10-0.8,10,5,1
er-10-0.35,10,1,1
er-10-0.9,10,4,7
er-10-0.65,10,3,1
er-10-0.55,10,5,1
er-10-0.25,10,1,1
er-10-0.8,10,2,1
er-10-0.55,10,3,1
er-10-0.8,10,2,1
er-10-0.75,10,17,1
er-10-0.7,10,7,1
er-10-0.5,10,2,1
er-10-0.4,10,1,1
er-10-0.7,10,13,1
er-10-0.95,10,3,1
er-10-0.7,10,8,3
er-10-0.9,10,4,1
er-10-0.65,10,5,1
er-10-0.75,10,5,1
er-10-0.45,10,2,1
er-10-0.6,10,2,1
er-10-0.7,10,2,1
er-10-0.65,10,5,1
er-10-0.6,10,2,1
er-10-0.9,10,2,1
er-10-0.6,10,2,1
er-10-0.7,10,14,1
er-10-0.8,10,2,2
er-10-0.25,10,1,1
er-10-0.2,10,1,1
er-10-0.55,10,2,2
er-10-0.75,10,5,1
er-10-0.75,10,9,1
er-10-0.45,10,3,1
er-10-0.9,10,2,1
er-10-0.65,10,2,1
er-10-0.9,10,11,1
er-10-0.8,10,8,1
er-10-0.4,10,1,1
er-10-0.3,10,1,1
er-20-0.6,20,2,1
er-20-0.9,20,2,1
er-20-0.6,20,2,1
er-20-0.45,20,7,1
er-20-0.65,20,3,1
er-20-0.75,20,6,1
er-20-0.5,20,2,1
er-20-0.4,20,2,2
er-20-0.85,20,7,1
er-20-0.25,20,1,1
er-20-0.45,20,6,1
er-20-0.25,20,3,1
er-20-0.25,20,5,1
er-20-0.95,20,20,2
er-20-0.65,20,8,2
er-20-0.5,20,12,1
er-20-0.4,20,7,2
er-20-0.6,20,2,2
er-20-0.15,20,1,1
er-20-0.95,20,31,2
er-20-0.85,20,2,1
er-20-0.85,20,32,1
er-20-0.55,20,1,2
er-20-0.95,20,9,1
er-20-0.9,20,3,1
er-20-0.2,20,6,1
er-20-0.55,20,6,1
er-20-0.8,20,2,2
er-20-0.95,20,12,2
er-20-0.95,20,17,1
er-20-0.3,20,7,2
er-20-0.7,20,5,1
er-20-0.7,20,1,1
er-20-0.4,20,3,1
er-20-0.5,20,3,1
er-20-0.4,20,1,1
er-20-0.4,20,8,2
er-20-0.95,20,8,1
er-20-0.65,20,3,1
er-20-0.35,20,4,1
er-20-0.7,20,14,2
er-20-0.2,20,1,1
er-20-0.75,20,1,1
er-20-0.7,20,30,2
er-20-0.55,20,2,1
er-20-0.6,20,3,1
er-20-0.65,20,2,1
er-20-0.95,20,21,1
er-20-0.75,20,1,1
er-20-0.95,20,63,1
er-20-0.8,20,12,1
er-20-0.25,20,2,1
er-20-0.25,20,3,1
er-20-0.25,20,3,1
er-20-0.6,20,6,1
er-20-0.7,20,6,1
er-20-0.3,20,1,1
er-20-0.4,20,5,1
er-20-0.5,20,8,1
er-20-0.45,20,10,1
er-20-0.6,20,5,2
er-20-0.7,20,25,1
er-20-0.35,20,2,1
er-20-0.4,20,1,1
er-20-0.85,20,4,1
er-20-0.4,20,9,1
er-20-0.65,20,12,1
er-20-0.45,20,17,1
er-20-0.35,20,1,1
er-20-0.65,20,1,2
er-20-0.4,20,9,1
er-20-0.5,20,9,1
er-20-0.4,20,4,1
er-20-0.3,20,3,1
er-20-0.75,20,13,3
er-20-1.0,20,1,1
er-20-0.2,20,4,1
er-20-0.55,20,1,1
er-20-1.0,20,1,1
er-20-0.6,20,1,1
er-20-0.4,20,3,1
er-20-0.25,20,3,1
er-20-0.35,20,10,1
er-20-0.5,20,5,2
er-20-0.7,20,2,2
er-20-0.35,20,5,1
er-20-0.2,20,1,1
er-20-0.45,20,5,1
er-20-0.75,20,7,6
er-20-0.55,20,2,2
er-20-0.55,20,12,1
er-20-0.6,20,14,2
er-20-0.9,20,1,3
er-20-0.75,20,5,4
er-20-0.9,20,26,2
er-20-0.25,20,2,1
er-20-0.55,20,13,1
er-20-1.0,20,1,1
er-20-0.95,20,1,1
er-20-0.5,20,1,3
er-30-0.95,30,11,1
er-30-0.45,30,4,1
er-30-0.85,30,16,2
er-30-0.2,30,6,1
er-30-0.95,30,36,3
er-30-0.25,30,6,2
er-30-0.6,30,21,1
er-30-0.35,30,3,1
er-30-0.6,30,17,1
er-30-0.4,30,6,1
er-30-0.6,30,2,2
er-30-0.4,30,3,1
er-30-0.3,30,3,2
er-30-0.6,30,13,1
er-30-0.4,30,2,1
er-30-0.6,30,15,2
